Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação em Saúde para a Atenção Básica ? SISAB
Relatório gerado em: 
IBGE 211223
Município: TRIZIDELA DO VALE - MA 
População estimada IBGE 2021: 22223 
Tipologia do município: Urbano 


CNES;Estabelecimento;INE;Sigla da equipe;DEZ/2022.Q3;
2603950;CENTRO DE SAUDE JOSENIL BEZERRA NASCIMENTO;0000062944;eSF;2035;
9287094;UNIDADE BASICA DE SAUDE GENI DE JESUS ALVES NUNES;0001628100;eSF;2627;
7637756;UNIDADE BASICA DE SAUDE CHICO CHICOTE;0001697080;eSF;1693;
2310791;UNIDADE BASICA DE SAUDE SEU QUINCA;0000062936;eSF;1108;
2310775;CENTRO DE SAUDE JERUSALEM;0000062901;eSF;4253;
7393954;UNIDADE BASICA DE SAUDE ANTONIO SEVERINO DE ANDRADE NETO;0000062960;eSF;890;
2603950;CENTRO DE SAUDE JOSENIL BEZERRA NASCIMENTO;0000062952;eSF;2680;
5654343;CENTRO DE SAUDE DR PEDRO BARROSO;0000062979;eSF;1996;
7637756;UNIDADE BASICA DE SAUDE CHICO CHICOTE;0000062928;eSF;1830;
2309661;CENTRO DE SAUDE JOAO BEATA;0000062898;eSF;1258;
5654343;CENTRO DE SAUDE DR PEDRO BARROSO;0001628097;eSF;1698;


MS/SAPS/Departamento de Saúde da Família - DESF;
Fonte: Sistema de Informação em Saúde para a Atenção Básica - SISAB;
Dado gerado em: 03 de Fevereiro de 2023 - 08:17h
